"Don’t show this popup", "Nerādīt vairs šo paziņojumu"
"%s Item(s)", "%s Prece (s)"
"&copy; 2012 Magento Demo Store. All Rights Reserved.", "© 2012 Magento Demo veikals Visas tiesības aizsargātas.".
"(Shift-)Click or drag to change value", "(Shift-) Click vai velciet, lai mainītu vērtību"
"(ver. %s)", "(Ver.% s)"
"- Click on any of the time parts to increase it", "- Noklikšķiniet uz jebkuru no laika daļām, lai palielinātu to"
"- Hold mouse button on any of the above buttons for faster selection.", "- Turi nospiestu peles pogu uz jebkuru no augstāk minētajām pogām, lai paātrinātu izvēli."
"- Use the %s buttons to select month", "- Izmantojiet% s pogas, lai izvēlētos mēnesi"
"- Use the %s, "- Izmanto% s
"- or Shift-click to decrease it", "- Vai Shift-click, lai samazinātu to"
"- or click and drag for faster selection.", "- Vai noklikšķiniet un velciet, lai paātrinātu izvēli."
"-- Please Select --", "- Lūdzu izvēlieties -"
"1 column", "1 kolonna"
"2 columns with left bar", "2 kolonnas ar kreisajā joslā"
"2 columns with right bar", "2 kolonnas ar labo joslu"
"3 columns", "3 kolonnas"
"About the calendar", "Par kalendāru"
"All Empty Layout Pages", "Visi Tukši izkārtojums lapas"
"All One-Column Layout Pages", "Visi vienas kolonnas izkārtojums lapas"
"All Pages", "Visi Pages"
"All Pages (Print Version)", "Visas lapas (iespiedversija)"
"All Three-Column Layout Pages", "Visas trīs kolonnu izkārtojums lapas"
"All Two-Column Layout Pages (Left Column)", "Visi Divu kolonnu izkārtojumu Lapas (kreisā sleja)"
"All Two-Column Layout Pages (Right Column)", "Visi Divu kolonnu izkārtojumu Lappuses (labā sleja)"
"Allow", "Atļaut"
"Breadcrumbs", "Maizes drupatas"
"Click <a href=""%s"">here</a> if nothing has happened", "Noklikšķiniet <a href=""%s""> šeit </ a>, ja nekas nav noticis"
"Close", "Aizvērt"
"Close Window", "Aizvērt logu"
"DHTML Date/Time Selector", "DHTML Datums / laiks atlasītājs"
"Date selection:", "Datums izvēle:"
"Default Description", "Noklusētais Apraksts"
"Default welcome msg!", "Noklusētā welcome msg!"
"Display %s first", "Displeja% pirmā"
"Distributed under GNU LGPL. See %s for details.", "Izplatīts saskaņā ar GNU LGPL skatīt% s informāciju.".
"Drag to move", "Velc, lai pārvietotu"
"Empty", "Tukšs"
"For latest version visit: %s", "Par jaunāko versiju, apmeklējiet:% s"
"Free Shipping on orders over 50$", "Free Shipping par pasūtījumiem virs $ 50"
"Go Today", "Go Šodien"
"Help Us to Keep Magento Healthy", "Palīdzēs mums saglabāt Magento veselīga"
"Interface Language", "Interfeisa valoda"
"Items %s to %s of %s total", "Preces% s uz% s no% s kopā"
"JavaScript seems to be disabled in your browser.", "JavaScript šķiet ir atspējots Jūsu pārlūkprogrammā."
"Left Column", "Kreisā sleja"
"Main Content Area", "Galvenā satura zonu"
"Navigation Bar", "Navigācijas Bar"
"Next", "Next"
"Next month (hold for menu)", "Nākamajā mēnesī (turi izvēlnei)"
"Next year (hold for menu)", "Nākamais gads (turi izvēlnei)"
"Page Bottom", "Lapa Grunts"
"Page Footer", "Lapa kājene"
"Page Header", "Lapa galvene"
"Page Top", "Uz augšu"
"Page:", "Lapa:"
"Prev. month (hold for menu)", "Iepriekšējais mēnesis (turi izvēlnē)."
"Prev. year (hold for menu)", "Iepriekšējais gads (turi izvēlnē)."
"Previous", "Iepriekšējais"
"Redirecting...", "Novirzot ..."
"Report All Bugs", "Ziņot visas kļūdas"
"Right Column", "Labā sleja"
"Select Store", "Izvēlēties Store"
"Select Store:", "Select Store:"
"Select date", "Izvēlēties datumu"
"Show", "Rāda"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.", "Šis ir demo veikals Visus pasūtījumus caur šo veikalu netiks ievērota vai ir izpildījis.".
"This website requires cookies to provide all of its features. For more information on what data is contained in the cookies, "Šī tīmekļa vietne prasa sīkdatnes, lai nodrošinātu visas tās pazīmes. Plašāku informāciju par to, kādi dati ir ietverts cookies
"Time selection:", "Laiks izvēle:"
"Time:", "Laiks:"
"Welcome, "Sveicināti
"You must have JavaScript enabled in your browser to utilize the functionality of this website.", "Jums ir jābūt aktivizētam Javascript jūsu pārlūkprogrammā izmantot funkcionalitāti šajā mājas lapā."
"Your Language", "Jūsu valoda"
"Your Language:", "Jūsu valoda:"
"per page", "ierakstus lapā"
"Logout", "Izrakstīties"
"All Categories", "Visas kategorijas"
"Checkout", "Noformēt pirkumu"
"Welcome, %s!", "Sveicināti, %s!"