"Actions", "Darbības"
"Add Answer", "Pievienot Atbildi"
"Add New Answer", "Pievienot Jaunu Atbildi"
"Add New Poll", "Pievienot Jaunu Aptauju"
"Answer Title", "Atbildes Virsraksts"
"Answer Title:", "Atbilde Virsraksts:"
"Answer with the same title in this poll", "Atbildēt ar tādu pašu virsrakstu šajā aptaujā"
"Are you sure you want to delete it?", "Vai tiešām vēlaties to dzēst?"
"Assigned Answers", "Piešķirtās Atbildes"
"Closed", "Slēgts"
"Community Poll", "Kopienas Aptauja"
"Date Closed", "Slēgšanas Datums"
"Date Posted", "Publicēšanas Datums"
"Delete", "Dzēst"
"Delete Answer", "Dzēst Atbildi"
"Delete Poll", "Dzēst Aptauju"
"Disallow Voting in a Poll Multiple Times from Same IP-address", "Neatļaut Balsot Aptaujā Vairākas Reizes no Vienas IP-adreses"
"Edit Answer '%s'", "Labot Atbildi '%s'"
"Edit Poll '%s'", "Labot Aptauju '%s'"
"Edit Poll Answer", "Labot Aptaujas Atbildi"
"ID", "ID"
"Invalid Answer.", "Nederīga Atbilde."
"New Poll", "Jauna Aptauja"
"Number of Responses", "Atbilžu Skaits"
"Open", "Atvērt"
"Poll Answers", "Aptaujas Atbildes"
"Poll Information", "Aptaujas Informācija"
"Poll Manager", "Aptaujas Vadītājs"
"Poll Question", "Aptaujas Jautājums"
"Poll information", "Aptaujas informācija"
"Poll with the same question", "Aptauja ar to pašu jautājumu"
"Polls", "Aptaujas"
"Save Answer", "Saglabāt Atbildi"
"Save Poll", "Saglabāt Aptauju"
"Status", "Statuss"
"The answer has been saved.", "Atbilde ir saglabāta."
"The poll does not exist.", "Aptauja neeksistē."
"Unable to find an answer to delete.", "Nevar atrast atbildi, lai to dzēstu."
"Visible In", "Redzams"
"Vote", "Balsojums"
"Votes Count", "Balsojumu Skaits"
"Votes Count:", "Balsojumu Skaits:"