"1 star", "1 zvaigzne"
"2 stars", "2 zvaigznes"
"3 stars", "3 zvaigznes"
"4 stars", "4 zvaigznes"
"5 stars", "5 zvaigznes"
"Add New Rating", "Pievienot Jaunu Vērtējumu"
"Assigned Options", "Piešķirtās Opcijas"
"Be the first to review this product", "Esi pirmais kas iesniedz atsauksmi par šo preci"
"Default Value", "Noklusētā Vērtība"
"Delete Rating", "Dzēst Vērtējumu"
"Edit Rating", "Labot Vērtējumu"
"ID", "ID"
"If you do not specify a rating title for a store, the default value will be used.", "Ja Jūs nenorādīsiet vērtējuma virsraksru, tad tiks izmantota noklusētā vērtība"
"Manage Ratings", "Pārvaldīt Vērtējumus"
"New Rating", "Jauns Vērtējums"
"Option Label", "Opcijas Nosaukums"
"Option Title", "Opcijas Virsraksts"
"Option Title:", "Opcijas Virsraksts:"
"Please select one of each ratings above", "Lūdzu, izvēlieties vienu no augstāk esošajiem vērtējumiem virs"
"Rating Information", "Vērtējuma Informācija"
"Rating Name", "Vērtējuma Nosaukums"
"Rating Options", "Vērtējuma Opcijas"
"Rating Title", "Vērtējuma Virsraksts"
"Rating Visibility", "Vērtējuma Redzamība"
"Rating isn't Available", "Vērtējumas nav Pieejams"
"Rating with the same title", "Vērtējums ar tādu pašu nosaukumu"
"Save Rating", "Saglabāt Vērtējumu"
"Sort Order", "Kārtošanas Kārtojuma"
"Visible In", "Redzams"